,Title,Salary,Rating,Company,Location,Headquarters,Size,Founded,ownership,Industry,Sector,Revenue,min,max
23,Data Analyst,$37K-$66K (Glassdoor est.),3.5,Andiamo,"New York, NY","Warren, MI",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),$37K,$66K
24,Entry Level / Jr. Data Analyst,$37K-$66K (Glassdoor est.),3.8,Dash Technologies Inc,"New York, NY","Columbus, OH",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,$37K,$66K
25,Data Analyst,$37K-$66K (Glassdoor est.),4.0,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),$37K,$66K
26,Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),5.0,Duolingo,"New York, NY","Pittsburgh, PA",201 to 500 employees,2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD),$37K,$66K
27,"Data Analyst, Product",$37K-$66K (Glassdoor est.),4.8,Ro,"New York, NY","New York, NY",51 to 200 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,$37K,$66K
28,Data Analyst Entry Level,$37K-$66K (Glassdoor est.),3.7,Endai,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),$37K,$66K
29,Data Analyst,$37K-$66K (Glassdoor est.),4.7,BlueLabs,"New York, NY","Washington, DC",1 to 50 employees,-1,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,$37K,$66K
30,Data Analyst,$46K-$87K (Glassdoor est.),3.6,Revel,"Brooklyn, NY","Seattle, WA",51 to 200 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),$46K,$87K
31,Data Analyst,$46K-$87K (Glassdoor est.),3.6,NALLAS CORPORATION,"Jersey City, NJ","Newtown, PA",1 to 50 employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),$46K,$87K
32,Data Analyst,$46K-$87K (Glassdoor est.),3.5,Pozent,"New York, NY","Piscataway, NJ",1 to 50 employees,-1,Contract,-1,-1,Less than $1 million (USD),$46K,$87K
33,"Data Science Analyst, Capital Markets",$46K-$87K (Glassdoor est.),3.2,SoFi,"New York, NY","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Lending,Finance,Unknown / Non-Applicable,$46K,$87K
34,Data Analyst (Games),$46K-$87K (Glassdoor est.),-1.0,Carry1st,"New York, NY",-1,-1,-1,-1,-1,-1,-1,$46K,$87K
35,Analyst/Associate Global Markets Credit Data Analyst,$46K-$87K (Glassdoor est.),3.7,Bank of America,"New York, NY","Charlotte, NC",10000+ employees,1904,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),$46K,$87K
36,Data Business Analyst,$46K-$87K (Glassdoor est.),-1.0,Clear Street,"New York, NY","New York, NY",51 to 200 employees,2018,Company - Public,-1,-1,$1 to $5 million (USD),$46K,$87K
37,Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,$46K-$87K (Glassdoor est.),3.6,Nutech Information Systems,"New York, NY","Westmont, IL",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),$46K,$87K
38,Data Science Analyst/Engineer,$46K-$87K (Glassdoor est.),4.0,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),$46K,$87K
39,Data Analyst,$46K-$87K (Glassdoor est.),4.6,The Trevor Project,"New York, NY","West Hollywood, CA",51 to 200 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),$46K,$87K
40,"Business Analyst, Data Platforms",$46K-$87K (Glassdoor est.),-1.0,Pinto,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,$46K,$87K
41,Behavioral Data Analyst,$46K-$87K (Glassdoor est.),-1.0,AB InBev,"New York, NY","Kyiv, Ukraine",1001 to 5000 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,$46K,$87K
42,Data Analyst,$46K-$87K (Glassdoor est.),5.0,Whip Media Group,"New York, NY","Santa Monica, CA",51 to 200 employees,2016,Company - Private,-1,-1,Unknown / Non-Applicable,$46K,$87K
43,Data Analyst -1+ year Contract - NYC,$46K-$87K (Glassdoor est.),4.0,Two95 International Inc.,"New York, NY","Cherry Hill, NJ",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),$46K,$87K
44,Data Analyst,$46K-$87K (Glassdoor est.),3.0,Vettery,"New York, NY","New York, NY",201 to 500 employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,$46K,$87K
45,Data Analyst,$46K-$87K (Glassdoor est.),2.9,"Nesco Resource, LLC","New York, NY","Cleveland, OH",1001 to 5000 employees,1956,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),$46K,$87K
46,Advertising Data Analyst,$46K-$87K (Glassdoor est.),4.0,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),$46K,$87K
47,Data Analyst,$46K-$87K (Glassdoor est.),3.6,MediaMath,"New York, NY","New York, NY",501 to 1000 employees,2007,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),$46K,$87K
48,Market Data Reporting Analyst,$46K-$87K (Glassdoor est.),4.9,Jordan & Jordan,"New York, NY","New York, NY",1 to 50 employees,1990,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,$46K,$87K
49,"Senior Analyst, Data Science",$46K-$87K (Glassdoor est.),3.9,Roku,"New York, NY","San Jose, CA",1001 to 5000 employees,2002,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),$46K,$87K
50,"Senior Data Analyst, Disney+",$46K-$87K (Glassdoor est.),4.0,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),$46K,$87K
51,"Office of the CAO | Reference Data, Project Manager/Business Analyst",$46K-$87K (Glassdoor est.),3.8,Citadel,"New York, NY","Chicago, IL",1001 to 5000 employees,1990,Company - Private,-1,-1,$50 to $100 million (USD),$46K,$87K
52,Business Data Analyst,$46K-$87K (Glassdoor est.),3.7,Xoriant Corporation,"Jersey City, NJ","Sunnyvale, CA",1001 to 5000 employees,1990,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),$46K,$87K
53,Senior Data Analyst,$46K-$87K (Glassdoor est.),3.6,Gemini,"New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,$46K,$87K
54,Data Scientist / Big Data Analytics Analyst,$46K-$87K (Glassdoor est.),3.6,"TSR, Inc.","Weehawken, NJ","Hauppauge, NY",201 to 500 employees,1969,Company - Public,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),$46K,$87K
55,Data Reporting Analyst,$46K-$87K (Glassdoor est.),-1.0,NADAP NYS INC.,"New York, NY",-1,-1,-1,-1,-1,-1,-1,$46K,$87K
56,"Principal Data Analyst, LATAM - Disney Streaming Services",$46K-$87K (Glassdoor est.),4.0,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),$46K,$87K
57,Data Analyst II,$46K-$87K (Glassdoor est.),3.2,Fragomen Worldwide,"New York, NY","New York, NY",1001 to 5000 employees,1951,Company - Private,Legal,Accounting & Legal,$500 million to $1 billion (USD),$46K,$87K
58,"Data Analyst - Environmental, Social, and Governance",$46K-$87K (Glassdoor est.),3.8,Bloomberg,"New York, NY","New York, NY",10000+ employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,$46K,$87K
59,Data Analyst,$46K-$87K (Glassdoor est.),3.9,Real Capital Analytics,"New York, NY","New York, NY",51 to 200 employees,2000,Company - Private,Real Estate,Real Estate,$25 to $50 million (USD),$46K,$87K
60,"Data Analyst, Revenue Analytics",$51K-$88K (Glassdoor est.),4.8,Ro,"New York, NY","New York, NY",51 to 200 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,$51K,$88K
61,Data Analyst - Data Acquisition / Data Lineage,$51K-$88K (Glassdoor est.),3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),$51K,$88K
62,Data Analyst - Data Scanning utilizing Rochade,$51K-$88K (Glassdoor est.),3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),$51K,$88K
63,Data Analyst - Stitching,$51K-$88K (Glassdoor est.),3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 employees,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),$51K,$88K
64,Junior Data Analyst,$51K-$88K (Glassdoor est.),4.1,Kforce,"New York, NY","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),$51K,$88K
65,"Data Analyst, Retail Media",$51K-$88K (Glassdoor est.),3.9,Criteo,"New York, NY","Paris, France",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),$51K,$88K
66,Data Analyst,$51K-$88K (Glassdoor est.),3.0,Royal Communications,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),$51K,$88K
67,Portfolio Data Analyst,$51K-$88K (Glassdoor est.),3.7,Neuberger Berman,"New York, NY","New York, NY",1001 to 5000 employees,1939,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD),$51K,$88K
68,Data Science Analyst,$51K-$88K (Glassdoor est.),-1.0,Greater New York Mutual Insurance Companies (GNY),"New York, NY",-1,-1,-1,-1,-1,-1,-1,$51K,$88K
69,Data/Reporting Analyst,$51K-$88K (Glassdoor est.),3.9,Diverse Lynx,"New York, NY","Princeton, NJ",501 to 1000 employees,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),$51K,$88K
70,Data Analyst 2,$51K-$88K (Glassdoor est.),3.7,eTeam Inc.,"New York, NY","South Plainfield, NJ",51 to 200 employees,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),$51K,$88K
71,Entry Level Data Analyst,$51K-$88K (Glassdoor est.),-1.0,impakt Advisors,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,$51K,$88K
72,Marketing Data Analyst,$51K-$88K (Glassdoor est.),3.6,Current,"New York, NY","Colorado Springs, CO",201 to 500 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,$51K,$88K
73,Data/Information Mgt Analyst,$51K-$88K (Glassdoor est.),3.7,Citi,"New York, NY","New York, NY",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),$51K,$88K
74,Business Data Analyst,$51K-$88K (Glassdoor est.),3.6,Axelon Services Corporation,"New York, NY","New York, NY",501 to 1000 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),$51K,$88K
75,Information Systems Officer (Data Analyst),$51K-$88K (Glassdoor est.),4.1,United Nations,"New York, NY","New York, NY",10000+ employees,1945,Government,Federal Agencies,Government,Unknown / Non-Applicable,$51K,$88K
76,Media Science Big Data Analyst,$51K-$88K (Glassdoor est.),3.5,"Discovery Communications, Inc.","New York, NY","New York, NY",10000+ employees,1985,Company - Public,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD),$51K,$88K
77,Data Analyst,$51K-$88K (Glassdoor est.),3.7,Randstad,"Jersey City, NJ","Atlanta, GA",1001 to 5000 employees,-1,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,$51K,$88K
78,Data Analyst,$51K-$88K (Glassdoor est.),5.0,Mulberry Technology,"New York, NY","New York, NY (US), NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,$51K,$88K
79,Data analyst with Python,$51K-$88K (Glassdoor est.),4.0,Two95 International Inc.,"New York, NY","Cherry Hill, NJ",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),$51K,$88K
80,Data Analyst,$51K-$88K (Glassdoor est.),4.8,SoftStandard Solutions,"New York, NY","Fremont, CA",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,$51K,$88K
81,Data Analyst,$51K-$88K (Glassdoor est.),5.0,"EDO, Inc.","New York, NY","Los Angeles, CA",1 to 50 employees,-1,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,$51K,$88K
82,"Healthcare Data Analyst, Qsight",$51K-$88K (Glassdoor est.),3.3,Guidepoint,"New York, NY","New York, NY",501 to 1000 employees,2003,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,$51K,$88K
83,BA/Data Analyst,$51K-$88K (Glassdoor est.),4.1,Mitchell Martin,"New York, NY","New York, NY",501 to 1000 employees,1984,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),$51K,$88K
84,Data Analyst Python,$51K-$88K (Glassdoor est.),4.0,Lorven Technologies Inc,"New York, NY","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),$51K,$88K
85,"Data Analyst, Bitcoin Trading Firm",$51K-$88K (Glassdoor est.),-1.0,Fintech Recruiters,"New York, NY","Dublin, Ireland",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,$51K,$88K
86,Data Analyst-BA,$51K-$88K (Glassdoor est.),1.0,Sphinix Network Solutions Inc.,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD),$51K,$88K
87,Data Analytics Solutions Analyst,$51K-$88K (Glassdoor est.),3.1,Praescient Analytics,"New York, NY","Alexandria, VA",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),$51K,$88K
88,Quantitative Data Analyst,$51K-$88K (Glassdoor est.),4.5,Global Atlantic Financial Group,"New York, NY","New York, NY",1001 to 5000 employees,2004,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,$51K,$88K
89,Data Analyst,$51K-$88K (Glassdoor est.),3.4,FINRA,"New York, NY","Washington, DC",1001 to 5000 employees,2007,Nonprofit Organization,Brokerage Services,Finance,$500 million to $1 billion (USD),$51K,$88K
90,Data Analyst,$51K-$87K (Glassdoor est.),-1.0,NYU Langone Medical Center,"New York, NY",-1,-1,-1,-1,-1,-1,-1,$51K,$87K
91,"Descriptive Analytics Data Analyst, IB",$51K-$87K (Glassdoor est.),3.6,Jefferies,"New York, NY","New York, NY",1001 to 5000 employees,1962,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),$51K,$87K
92,Data Analyst,$51K-$87K (Glassdoor est.),4.1,RGP,"New York, NY","Irvine, CA",1001 to 5000 employees,1996,Company - Public,Consulting,Business Services,$500 million to $1 billion (USD),$51K,$87K
93,Data Analyst,$51K-$87K (Glassdoor est.),4.4,Tachyon Technologies,"New York, NY","Irving, TX",201 to 500 employees,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),$51K,$87K
94,Data Analyst,$51K-$87K (Glassdoor est.),3.8,Apex Systems,"Jersey City, NJ","Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),$51K,$87K
95,Data Analyst,$51K-$87K (Glassdoor est.),3.2,Hagerty Consulting,"New York, NY","Evanston, IL",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD),$51K,$87K
96,Data Analyst,$51K-$87K (Glassdoor est.),-1.0,Gainful Health,"New York, NY","San Mateo, CA",1 to 50 employees,-1,Company - Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable,$51K,$87K
97,Business Data Analyst,$51K-$87K (Glassdoor est.),3.8,Cortex consultants LLC,"New York, NY","North Brunswick, NJ",501 to 1000 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,$51K,$87K
98,Data Analyst,$51K-$87K (Glassdoor est.),4.7,Medly Pharmacy,"Brooklyn, NY","Brooklyn, NY",201 to 500 employees,2017,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,$51K,$87K
99,Healthcare Data Analyst,$51K-$87K (Glassdoor est.),2.3,Fair Health,"New York, NY","New York, NY",1 to 50 employees,-1,Nonprofit Organization,-1,-1,$10 to $25 million (USD),$51K,$87K
100,Supply Chain Data Analyst,$51K-$87K (Glassdoor est.),3.8,Peloton Interactive,"New York, NY","New York, NY",1001 to 5000 employees,2012,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,$51K,$87K
101,Data Analyst - IBM Tool Set,$51K-$87K (Glassdoor est.),4.6,ektello,"New York, NY","Troy, MI",201 to 500 employees,2011,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),$51K,$87K
102,Analyst-Data Integrity,$51K-$87K (Glassdoor est.),3.0,"Premier, Inc.","New York, NY","Charlotte, NC",1001 to 5000 employees,1967,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),$51K,$87K
103,"Reference Data Operations Analyst - Index Instrument, Associate",$51K-$87K (Glassdoor est.),3.9,JPMorgan Chase,"New York, NY","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),$51K,$87K
104,Data Analyst,$51K-$87K (Glassdoor est.),3.0,Fund for Public Health,"Long Island City, NY","New York, NY",201 to 500 employees,-1,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),$51K,$87K
105,Data & Service Health Analyst,$51K-$87K (Glassdoor est.),4.2,BlueVoyant,"New York, NY","New York, NY",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,$51K,$87K
106,Data/Systems Analyst,$51K-$87K (Glassdoor est.),5.0,Crossfire Consulting Corporation,"New York, NY","Yorktown Heights, NY",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),$51K,$87K
107,Data Analyst,$51K-$87K (Glassdoor est.),4.0,Reliable Software Resources,"New York, NY","Northville, MI",501 to 1000 employees,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),$51K,$87K
108,Data Analyst,$51K-$87K (Glassdoor est.),-1.0,Hyde Leadership Brooklyn,"Brooklyn, NY","Brooklyn, NY",51 to 200 employees,-1,School / School District,-1,-1,Unknown / Non-Applicable,$51K,$87K
109,Data Analyst,$51K-$87K (Glassdoor est.),-1.0,Vertex Intel Systems,"Jersey City, NJ",-1,-1,-1,-1,-1,-1,-1,$51K,$87K
110,Data Analyst Intern,$51K-$87K (Glassdoor est.),3.6,My Job Tank,"Jersey City, NJ","New York, NY",51 to 200 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,$51K,$87K
111,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$51K-$87K (Glassdoor est.),3.7,Cowen,"New York, NY","New York, NY",501 to 1000 employees,1918,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),$51K,$87K
112,Data Reporting Analyst,$51K-$87K (Glassdoor est.),3.5,Robert Half,"New York, NY","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),$51K,$87K
113,Data Analyst,$51K-$87K (Glassdoor est.),2.8,FJA-US Inc.,"New York, NY","New York, NY",51 to 200 employees,1994,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),$51K,$87K
114,Data Analyst,$51K-$87K (Glassdoor est.),5.0,Averity,"New York, NY","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,$51K,$87K
115,Data Analyst,$51K-$87K (Glassdoor est.),3.8,Capgemini,"Jersey City, NJ","Paris, France",10000+ employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),$51K,$87K
116,ERP Data Analyst,$51K-$87K (Glassdoor est.),3.4,Wildlife Conservation Society,"New York, NY","Bronx, NY",1001 to 5000 employees,1895,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),$51K,$87K
117,Data Analyst,$51K-$87K (Glassdoor est.),3.6,Asembia,"Florham Park, NJ","Florham Park, NJ",501 to 1000 employees,2004,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),$51K,$87K
118,Healthcare Data/Reporting Analyst,$51K-$87K (Glassdoor est.),-1.0,Vesta Healthcare,"New York, NY","New York, NY",1 to 50 employees,2018,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,$51K,$87K
119,PBM Data Analyst,$51K-$87K (Glassdoor est.),3.2,1199SEIU Funds,"New York, NY","New York, NY",1001 to 5000 employees,-1,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD),$51K,$87K
120,Data Analyst (Temporary Assignment),$59K-$85K (Glassdoor est.),3.8,Nutrafol,"New York, NY","New York, NY",51 to 200 employees,-1,Other Organization,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,$59K,$85K
121,Data Analyst,$59K-$85K (Glassdoor est.),3.5,New York Life Insurance Co,"New York, NY","New York, NY",10000+ employees,1845,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),$59K,$85K
122,Market Data Analyst,$59K-$85K (Glassdoor est.),3.5,"EDP World, Inc.","New York, NY","New York, NY",1 to 50 employees,1968,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),$59K,$85K
123,Data Analyst,$59K-$85K (Glassdoor est.),4.1,Phyton Talent Advisors,"Jersey City, NJ","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,$59K,$85K
124,Junior Data Analyst,$59K-$85K (Glassdoor est.),5.0,"Staffigo Technical Services, LLC","New York, NY","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),$59K,$85K
125,Microsoft Dynamics CRM Data Analyst,$59K-$85K (Glassdoor est.),3.7,IBM,"New York, NY","Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),$59K,$85K
